Group Name,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Direct Loaning Scheme,36681,45570,47901,47986,35146,49825,29053,23563,11856,7229,5778,6539,NA,7172,8285,8673,8757,9187,9627,10335,10959,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National Backward classes Finance and Development Scheme,203932,161170,136860,137653,137653,150873,148665,141939,138247,132060,127560,125503,NA,80896,73558,54284,40852,31858,37199,45525,45193,52786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National Minorities  Developmentand Finance Scheme,132920,115081,148522,148588,219116,219171,251683,244298,241154,236698,223654,196545,NA,172536,152481,111898,81043,50854,66196,93443,113621,105254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12542,5721,7343,9189,11208,13544,16359,17590,15177,18821,7696,10081,5618,5885,6072
Marketing Processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,24,24,24,24,20,20,20,20,20,20,20,20
Milk Dairy Schemes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,329,342,352,372,443,467,491,499,579,549,616,675,731
Small  Scale Industry ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,224,402,718,1154,1597,2229,2155,2143,1207,2101,1300,1507,1664
Transport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,41,41,56,92,122,262,210,370,23,321,25,28,69
Miscellaneous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8878,10847,12792,15822,18301,20722,21665,15728,8778,5908,7697,4188,4490,4700
Building Construction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,391,506,1042,1666,2483,2842,2386,1455,545,1140,288,381,488
