Sl.No,State/UT,Micro (Numbers in Lakh),Small (Numbers in Lakh),Total (Numbers in Lakh)
1,Jammu and Kashmir,1.18,0,1.18
2,Himachal Pradesh,1.59,0.01,1.6
3,Punjab,9.65,0,9.66
4,Chandigarh,0.28,0,0.28
5,Uttarakhand,1.97,0.03,2
6,Haryana,4.86,0,4.87
7,Delhi,1.73,0.02,1.75
8,Rajasthan,9.12,0.01,9.14
9,Uttar Pradesh,22.33,0,22.34
10,Bihar,7.48,0,7.48
11,Sikkim,0.06,0,0.06
12,Arunachal Pradesh,0.25,0,0.25
13,Nagaland,0.16,0,0.16
14,Manipur,0.44,0,0.44
15,Mizoram,0.1,0,0.1
16,Tripura,0.26,0,0.26
17,Meghalaya,0.47,0,0.47
18,Assam,2.14,0,2.14
19,West Bengal,20.77,0.03,20.8
20,Jharkhand,4.25,0,4.25
21,Orissa,9.76,0.01,9.77
22,Chhattisgarh,2.78,0,2.78
23,Madhya Pradesh,11.5,0,11.5
24,Gujarat,13.02,0.01,13.03
25,Daman & Diu,0.01,0,0.01
26,Dadar and Nagar Haveli,0.04,0,0.04
27,Maharashtra,14.42,0.04,14.45
28,Andhra Pradesh,14.83,0.07,14.9
29,Karnataka,11.1,0.03,11.12
30,Goa,0.56,0,0.56
31,Lakshadweep,0.01,0,0.01
32,Kerala,12.92,0.01,12.94
33,Tamil Nadu,18.13,0.07,18.21
34,Puducherry,0.13,0,0.13
35,Andaman and Nicobar Islands,0.07,0,0.07
NA,All India,198.39,0.35,198.74
